TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
2003,2003,RO41,Sud-Vest Oltenia,Total,Total,Number,2336018,
2016,2016,FR41,Lorraine (NUTS 2013),Total,Total,Number,2336356,p
1995,1995,RO32,Bucuresti - Ilfov,Total,Total,Number,2337293,
2016,2016,UKI4,Inner London - East,Total,Total,Number,2337518,
1999,1999,NL41,Noord-Brabant,Total,Total,Number,2337709,
2010,2010,PT16,Centro (PT),Total,Total,Number,2337787,
2016,2016,FRF3,Lorraine,Total,Total,Number,2337788,
2017,2017,PL92,Mazowiecki regionalny,Total,Total,Number,2339206,
2015,2015,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2339246,e
2007,2007,FRF3,Lorraine,Total,Total,Number,2339881,
2007,2007,FR41,Lorraine (NUTS 2013),Total,Total,Number,2339881,
1993,1993,RO32,Bucuresti - Ilfov,Total,Total,Number,2340606,
2009,2009,UKH1,East Anglia,Total,Total,Number,2341273,
2015,2015,FRF3,Lorraine,Total,Total,Number,2341531,
2015,2015,FR41,Lorraine (NUTS 2013),Total,Total,Number,2341531,p
2016,2016,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2341746,e
2009,2009,PT16,Centro (PT),Total,Total,Number,2341807,
2016,2016,RO12,Centru,Total,Total,Number,2341964,
2014,2014,FRF3,Lorraine,Total,Total,Number,2342397,
2014,2014,FR41,Lorraine (NUTS 2013),Total,Total,Number,2342397,
2011,2011,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2342716,
2016,2016,PL92,Mazowiecki regionalny,Total,Total,Number,2343325,
2017,2017,IE06,Eastern and Midland,Total,Total,Number,2344282,
2001,2001,PT16,Centro (PT),Total,Total,Number,2344671,
2013,2013,FRF3,Lorraine,Total,Total,Number,2345197,
2013,2013,FR41,Lorraine (NUTS 2013),Total,Total,Number,2345197,
1999,1999,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2345903,
2008,2008,PT16,Centro (PT),Total,Total,Number,2345981,
2008,2008,FRF3,Lorraine,Total,Total,Number,2346361,
2008,2008,FR41,Lorraine (NUTS 2013),Total,Total,Number,2346361,
2015,2015,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Total,Total,Number,2347205,
2012,2012,TR72,"Kayseri, Sivas, Yozgat",Total,Total,Number,2348101,
2007,2007,PT16,Centro (PT),Total,Total,Number,2348308,
2002,2002,RO41,Sud-Vest Oltenia,Total,Total,Number,2348337,
